通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
AUD/USD	GMOクリック証券(FXネオ)	みんなのFX	58	-50	8	8.5408036896272	17.93235
AUD/USD	外為オンライン	FXトレード・フィナンシャル(高速FX)	55	-47	8	8.5408036896272	59.7745
CAD/JPY	ライブスター証券	FXプライム(選べる外貨)	27	-19	8	8.3266546624062	60
EUR/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	3	8	11	8.2217172925138	21.818181818182
GBP/JPY	ライブスター証券	FXブロードネット	33	-18	15	8.1593576953622	54
CHF/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	-12	22	10	8.0222698210232	88
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	87	-80	7	7.7487629653409	97.142857142857
GBP/JPY	ライブスター証券	FXプライム(直トレFX)	33	-19	14	7.6154005156714	37.857142857143
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	28	-14	14	7.6154005156714	20
GBP/JPY	ライブスター証券	FXプライム(選べる外貨)	33	-19	14	7.6154005156714	37.142857142857
EUR/JPY	DMM FX	FXトレード・フィナンシャル(高速FX)	2	8	10	7.4742884477398	11
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(FX CHOICE)	0	10	10	7.4742884477398	16.73686
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(スタンダード)	0	10	10	7.4742884477398	21.51882
EUR/USD	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	0	10	10	7.4742884477398	15.54137
AUD/USD	FXブロードネット	FXプライム(直トレFX)	56	-49	7	7.4732032284238	63.190185714286
AUD/USD	FXブロードネット	FXプライム(選べる外貨)	56	-49	7	7.4732032284238	83.6843
AUD/JPY	JFX	FXトレード・フィナンシャル(高速FX)	57	-50	7	7.4732032284238	20
AUD/JPY	JFX	FXプライム(直トレFX)	57	-50	7	7.4732032284238	35.714285714286
AUD/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	57	-50	7	7.4732032284238	20
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	57	-50	7	7.4732032284238	31.428571428571
AUD/JPY	GMOクリック証券(FXネオ)	FXブロードネット	58	-51	7	7.4732032284238	61.428571428571
AUD/JPY	JFX	FXプライム(選べる外貨)	57	-50	7	7.4732032284238	31.428571428571
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	57	-50	7	7.4732032284238	35.714285714286
AUD/JPY	サクソバンクFX(スタンダード)	FXプライム(選べる外貨)	57	-50	7	7.4732032284238	54.285714285714
AUD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	57	-50	7	7.4732032284238	44.285714285714
AUD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(直トレFX)	57	-50	7	7.4732032284238	48.571428571429
AUD/JPY	サクソバンクFX(スタンダード)	FXトレード・フィナンシャル(高速FX)	57	-50	7	7.4732032284238	42.857142857143
AUD/JPY	サクソバンクFX(FX CHOICE)	FXトレード・フィナンシャル(高速FX)	57	-50	7	7.4732032284238	32.857142857143
AUD/JPY	サクソバンクFX(スタンダード)	FXプライム(直トレFX)	57	-50	7	7.4732032284238	58.571428571429
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	28	-15	13	7.0714433359806	22.307692307692
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	1	8	9	6.7268596029658	13.333333333333
EUR/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	1	8	9	6.7268596029658	17.777777777778
USD/JPY	ライブスター証券	DMM FX	9	-1	8	6.6918167445984	15
NZD/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	83	-77	6	6.641796827435	75
GBP/JPY	ライブスター証券	GMOクリック証券(FXネオ)	33	-21	12	6.5274861562898	37.5
CHF/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	-22	30	8	6.4178158568185	72.5
AUD/USD	ライブスター証券	GMOクリック証券(FXネオ)	68	-62	6	6.4056027672204	75.714366666667
AUD/USD	FXブロードネット	みんなのFX	56	-50	6	6.4056027672204	37.857183333333
AUD/JPY	サクソバンクFX(FX CHOICE)	FXブロードネット	57	-51	6	6.4056027672204	90
AUD/JPY	JFX	FXブロードネット	57	-51	6	6.4056027672204	75
AUD/JPY	サクソバンクFX(スタンダード)	FXブロードネット	57	-51	6	6.4056027672204	101.66666666667
AUD/JPY	ヒロセ通商(LION FX)	FXブロードネット	57	-51	6	6.4056027672204	75
AUD/USD	外為オンライン	FXプライム(選べる外貨)	55	-49	6	6.4056027672204	99.624166666667
AUD/USD	外為オンライン	FXプライム(直トレFX)	55	-49	6	6.4056027672204	75.714366666667
GBP/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	25	-14	11	5.983528976599	26.363636363636
EUR/USD	ライブスター証券	サクソバンクFX(スタンダード)	-2	10	8	5.9794307581918	35.8647
EUR/USD	DMM FX	サクソバンクFX(FX CHOICE)	-2	10	8	5.9794307581918	16.4379875
EUR/USD	ライブスター証券	サクソバンクFX(FX CHOICE)	-2	10	8	5.9794307581918	29.88725
EUR/JPY	ライブスター証券	FXプライム(直トレFX)	3	5	8	5.9794307581918	41.25
EUR/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	-2	10	8	5.9794307581918	28.3928875
EUR/JPY	ライブスター証券	FXプライム(選べる外貨)	3	5	8	5.9794307581918	40
EUR/USD	DMM FX	FXトレード・フィナンシャル(高速FX)	-2	10	8	5.9794307581918	14.943625
EUR/USD	DMM FX	サクソバンクFX(スタンダード)	-2	10	8	5.9794307581918	22.4154375
CHF/JPY	DMM FX	FXブロードネット	-15	22	7	5.6155888747162	80
GBP/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	25	-15	10	5.4395717969081	30
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	28	-18	10	5.4395717969081	65
AUD/USD	外為オンライン	みんなのFX	55	-50	5	5.338002306017	47.8196
EUR/JPY	DMM FX	FXプライム(選べる外貨)	2	5	7	5.2320019134178	27.142857142857
EUR/JPY	DMM FX	FXプライム(直トレFX)	2	5	7	5.2320019134178	28.571428571429
CAD/JPY	みんなのFX	DMM FX	15	-10	5	5.2041591640039	34
CAD/JPY	みんなのFX	FXトレード・フィナンシャル(高速FX)	15	-10	5	5.2041591640039	100
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(直トレFX)	28	-19	9	4.8956146172173	41.111111111111
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	28	-19	9	4.8956146172173	40
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(直トレFX)	1	5	6	4.4845730686439	35
EUR/JPY	ライブスター証券	GMOクリック証券(FXネオ)	3	3	6	4.4845730686439	41.666666666667
EUR/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(直トレFX)	1	5	6	4.4845730686439	41.666666666667
EUR/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	1	5	6	4.4845730686439	40
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	1	5	6	4.4845730686439	33.333333333333
GBP/USD	外為オンライン	FXトレード・フィナンシャル(高速FX)	15	-7	8	4.3516574375265	59.7745
GBP/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	15	-7	8	4.3516574375265	56.785775
AUD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	50	-46	4	4.2704018448136	30
USD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	9	-4	5	4.182385465374	34
USD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	6	-1	5	4.182385465374	12
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	20	-16	4	4.1633273312031	102.5
GBP/USD	FXブロードネット	FXトレード・フィナンシャル(高速FX)	14	-7	7	3.8077002578357	61.482342857143
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	28	-21	7	3.8077002578357	41.428571428571
GBP/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	25	-18	7	3.8077002578357	94.285714285714
EUR/USD	マネーパートナーズ(パートナーズFX)	みんなのFX	0	5	5	3.7371442238699	40.64666
EUR/USD	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	-10	15	5	3.7371442238699	23.9098
EUR/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	-10	15	5	3.7371442238699	35.8647
EUR/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	-10	15	5	3.7371442238699	31.08274
EUR/JPY	ライブスター証券	みんなのFX	3	2	5	3.7371442238699	50
EUR/JPY	DMM FX	GMOクリック証券(FXネオ)	2	3	5	3.7371442238699	24
USD/JPY	GMOクリック証券(FXネオ)	DMM FX	5	-1	4	3.3459083722992	15
USD/JPY	外為オンライン	DMM FX	5	-1	4	3.3459083722992	32.5
NZD/JPY	JFX	GMOクリック証券(FXネオ)	90	-87	3	3.3208984137175	100
NZD/JPY	ヒロセ通商(LION FX)	GMOクリック証券(FXネオ)	90	-87	3	3.3208984137175	100
GBP/JPY	みんなのFX	FXトレード・フィナンシャル(高速FX)	20	-14	6	3.2637430781449	33.333333333333
GBP/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	25	-19	6	3.2637430781449	61.666666666667
GBP/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(直トレFX)	25	-19	6	3.2637430781449	63.333333333333
CAD/JPY	GMOクリック証券(FXネオ)	DMM FX	13	-10	3	3.1224954984023	113.33333333333
EUR/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	1	3	4	2.9897153790959	42.5
EUR/JPY	ライブスター証券	サクソバンクFX(スタンダード)	3	1	4	2.9897153790959	85
EUR/JPY	DMM FX	みんなのFX	2	2	4	2.9897153790959	30
EUR/JPY	ライブスター証券	ヒロセ通商(LION FX)	3	1	4	2.9897153790959	70
EUR/JPY	ライブスター証券	JFX	3	1	4	2.9897153790959	67.5
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	1	3	4	2.9897153790959	32.5
EUR/JPY	ライブスター証券	サクソバンクFX(FX CHOICE)	3	1	4	2.9897153790959	85
GBP/JPY	みんなのFX	DMM FX	20	-15	5	2.7197858984541	42
GBP/USD	外為オンライン	DMM FX	15	-10	5	2.7197858984541	100.42116
GBP/JPY	ライブスター証券	マネーパートナーズ(パートナーズFX nano)	33	-28	5	2.7197858984541	104
GBP/USD	ライブスター証券	DMM FX	15	-10	5	2.7197858984541	95.6392
USD/JPY	ヒロセ通商(LION FX)	DMM FX	4	-1	3	2.5094312792244	20
USD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	4	-1	3	2.5094312792244	36.666666666667
USD/JPY	JFX	DMM FX	4	-1	3	2.5094312792244	20
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	1	2	3	2.2422865343219	43.333333333333
EUR/JPY	DMM FX	ヒロセ通商(LION FX)	2	1	3	2.2422865343219	50
EUR/JPY	DMM FX	サクソバンクFX(スタンダード)	2	1	3	2.2422865343219	70
EUR/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	1	2	3	2.2422865343219	56.666666666667
EUR/JPY	ライブスター証券	FXブロードネット	3	0	3	2.2422865343219	90
EUR/USD	ライブスター証券	みんなのFX	-2	5	3	2.2422865343219	91.654233333333
EUR/JPY	DMM FX	サクソバンクFX(FX CHOICE)	2	1	3	2.2422865343219	70
EUR/JPY	DMM FX	JFX	2	1	3	2.2422865343219	46.666666666667
EUR/USD	DMM FX	みんなのFX	-2	5	3	2.2422865343219	55.789533333333
GBP/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	18	-14	4	2.1758287187633	52.5
GBP/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	25	-21	4	2.1758287187633	75
GBP/USD	ライブスター証券	GMOクリック証券(FXネオ)	15	-11	4	2.1758287187633	119.549
GBP/USD	FXブロードネット	DMM FX	14	-10	4	2.1758287187633	113.57155
AUD/JPY	みんなのFX	DMM FX	48	-46	2	2.1352009224068	70
USD/JPY	サクソバンクFX(スタンダード)	DMM FX	3	-1	2	1.6729541861496	35
USD/JPY	FXプライム(直トレFX)	DMM FX	3	-1	2	1.6729541861496	50
USD/JPY	FXブロードネット	DMM FX	3	-1	2	1.6729541861496	30
USD/JPY	みんなのFX	DMM FX	3	-1	2	1.6729541861496	35
USD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	3	-1	2	1.6729541861496	45
USD/JPY	ライブスター証券	FXブロードネット	9	-7	2	1.6729541861496	60
USD/JPY	FXプライム(選べる外貨)	DMM FX	3	-1	2	1.6729541861496	45
USD/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	6	-4	2	1.6729541861496	55
USD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	9	-7	2	1.6729541861496	60
USD/JPY	ライブスター証券	マネーパートナーズ(パートナーズFX nano)	9	-7	2	1.6729541861496	60
GBP/USD	DMM FX	FXトレード・フィナンシャル(高速FX)	10	-7	3	1.6318715390724	87.669266666667
GBP/JPY	GMOクリック証券(FXネオ)	DMM FX	18	-15	3	1.6318715390724	73.333333333333
EUR/JPY	マネーパートナーズ(パートナーズFX)	ヒロセ通商(LION FX)	1	1	2	1.494857689548	100
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	ヒロセ通商(LION FX)	1	1	2	1.494857689548	80
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	サクソバンクFX(スタンダード)	1	1	2	1.494857689548	110
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	JFX	1	1	2	1.494857689548	75
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	サクソバンクFX(FX CHOICE)	1	1	2	1.494857689548	110
EUR/JPY	マネーパートナーズ(パートナーズFX)	JFX	1	1	2	1.494857689548	95
EUR/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	-6	8	2	1.494857689548	55
EUR/USD	マネーパートナーズ(パートナーズFX)	DMM FX	0	2	2	1.494857689548	77.70685
EUR/JPY	DMM FX	FXブロードネット	2	0	2	1.494857689548	70
USD/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	5	-4	1	0.83647709307481	110
