通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
CHF/JPY	マネーパートナーズ(パートナーズFX)	ライブスター証券	0	6	6	4.731003051497	116.66666666667
CHF/JPY	ライブスター証券	DMM FX	-9	15	6	4.731003051497	83.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	ライブスター証券	0	6	6	4.731003051497	93.333333333333
EUR/USD	ライブスター証券	YJFX!(外貨ex)	-2	8	6	4.4283057302276	43.659366666667
EUR/USD	DMM FX	YJFX!(外貨ex)	-2	8	6	4.4283057302276	25.798716666667
EUR/JPY	マネーパートナーズ(パートナーズFX)	YJFX!(外貨ex)	1	5	6	4.4283057302276	35
EUR/JPY	FXプライム(直トレFX)	みんなのFX	0	6	6	4.4283057302276	33.333333333333
EUR/USD	YJFX!(外貨ex)	FXトレード・フィナンシャル(高速FX)	-9	15	6	4.4283057302276	25.798716666667
EUR/USD	YJFX!(外貨ex)	GMOクリック証券(FXネオ)	-9	15	6	4.4283057302276	25.798716666667
EUR/JPY	FXプライム(選べる外貨)	みんなのFX	0	6	6	4.4283057302276	31.666666666667
EUR/JPY	外為オンライン	みんなのFX	0	6	6	4.4283057302276	43.333333333333
EUR/JPY	FXブロードネット	みんなのFX	0	6	6	4.4283057302276	23.333333333333
GBP/USD	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	6	2	8	4.3641203842608	43.1632375
AUD/USD	DMM FX	YJFX!(外貨ex)	45	-41	4	4.2831138237499	95.2568
AUD/USD	FXプライム(直トレFX)	YJFX!(外貨ex)	45	-41	4	4.2831138237499	113.11745
AUD/USD	外為オンライン	FXプライム(直トレFX)	55	-51	4	4.2831138237499	113.11745
AUD/JPY	YJFX!(外貨ex)	FXプライム(選べる外貨)	54	-50	4	4.2831138237499	55
AUD/JPY	みんなのFX	DMM FX	50	-46	4	4.2831138237499	35
AUD/JPY	FXブロードネット	DMM FX	50	-46	4	4.2831138237499	107.5
AUD/JPY	YJFX!(外貨ex)	FXプライム(直トレFX)	54	-50	4	4.2831138237499	62.5
CAD/JPY	GFT	DMM FX	14	-10	4	4.2114129290377	105
USD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	9	-4	5	4.1991752819746	24
USD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	9	-4	5	4.1991752819746	34
GBP/JPY	YJFX!(外貨ex)	外為オンライン	22	-15	7	3.8186053362282	97.142857142857
GBP/JPY	YJFX!(外貨ex)	DMM FX	22	-15	7	3.8186053362282	41.428571428571
GBP/JPY	YJFX!(外貨ex)	FXブロードネット	22	-15	7	3.8186053362282	92.857142857143
EUR/JPY	外為オンライン	YJFX!(外貨ex)	0	5	5	3.6902547751897	60
EUR/JPY	FXプライム(直トレFX)	YJFX!(外貨ex)	0	5	5	3.6902547751897	48
EUR/JPY	ライブスター証券	GMOクリック証券(FXネオ)	3	2	5	3.6902547751897	50
EUR/JPY	FXプライム(選べる外貨)	YJFX!(外貨ex)	0	5	5	3.6902547751897	46
EUR/JPY	FXブロードネット	YJFX!(外貨ex)	0	5	5	3.6902547751897	36
USD/JPY	ライブスター証券	マネーパートナーズ(パートナーズFX nano)	9	-5	4	3.3593402255797	30
USD/JPY	GFT	DMM FX	5	-1	4	3.3593402255797	20
USD/JPY	ライブスター証券	みんなのFX	9	-5	4	3.3593402255797	32.5
USD/JPY	ライブスター証券	YJFX!(外貨ex)	9	-5	4	3.3593402255797	32.5
USD/JPY	ライブスター証券	外為オンライン	9	-5	4	3.3593402255797	47.5
NZD/JPY	JFX	YJFX!(外貨ex)	90	-87	3	3.3488870532027	110
NZD/JPY	ヒロセ通商(LION FX)	YJFX!(外貨ex)	90	-87	3	3.3488870532027	110
NZD/JPY	DMM FX	FXプライム(選べる外貨)	75	-72	3	3.3488870532027	116.66666666667
GBP/JPY	ライブスター証券	YJFX!(外貨ex)	29	-23	6	3.2730902881956	86.666666666667
AUD/USD	外為オンライン	みんなのFX	55	-52	3	3.2123353678124	79.380666666667
AUD/USD	GMOクリック証券(FXネオ)	FXプライム(直トレFX)	54	-51	3	3.2123353678124	119.071
EUR/USD	マネーパートナーズ(パートナーズFX)	FXプライム(直トレFX)	0	4	4	2.9522038201517	47.6284
EUR/USD	GFT	YJFX!(外貨ex)	-4	8	4	2.9522038201517	44.651625
EUR/JPY	DMM FX	GMOクリック証券(FXネオ)	2	2	4	2.9522038201517	30
EUR/USD	マネーパートナーズ(パートナーズFX)	みんなのFX	0	4	4	2.9522038201517	50.605175
EUR/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	-5	9	4	2.9522038201517	27.5
EUR/USD	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	0	4	4	2.9522038201517	53.58195
EUR/JPY	GFT	マネーパートナーズ(パートナーズFX nano)	6	-2	4	2.9522038201517	40
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	2	2	4	2.9522038201517	32.5
EUR/JPY	GFT	DMM FX	6	-2	4	2.9522038201517	37.5
GBP/JPY	FXプライム(選べる外貨)	DMM FX	20	-15	5	2.727575240163	58
GBP/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	20	-15	5	2.727575240163	60
GBP/USD	ライブスター証券	FXプライム(直トレFX)	24	-19	5	2.727575240163	104.78248
GBP/JPY	GFT	DMM FX	20	-15	5	2.727575240163	52
GBP/USD	FXブロードネット	DMM FX	15	-10	5	2.727575240163	90.49396
GBP/USD	外為オンライン	DMM FX	15	-10	5	2.727575240163	100.01964
GBP/JPY	FXプライム(直トレFX)	DMM FX	20	-15	5	2.727575240163	60
USD/JPY	ライブスター証券	FXブロードネット	9	-6	3	2.5195051691848	40
USD/JPY	YJFX!(外貨ex)	DMM FX	4	-1	3	2.5195051691848	23.333333333333
USD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	4	-1	3	2.5195051691848	36.666666666667
USD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	4	-1	3	2.5195051691848	20
EUR/USD	FXプライム(選べる外貨)	FXトレード・フィナンシャル(高速FX)	-12	15	3	2.2141528651138	59.5355
EUR/USD	FXプライム(選べる外貨)	GMOクリック証券(FXネオ)	-12	15	3	2.2141528651138	59.5355
EUR/USD	FXプライム(直トレFX)	FXトレード・フィナンシャル(高速FX)	-12	15	3	2.2141528651138	51.597433333333
EUR/JPY	YJFX!(外貨ex)	FXトレード・フィナンシャル(高速FX)	-6	9	3	2.2141528651138	50
EUR/USD	FXプライム(直トレFX)	GMOクリック証券(FXネオ)	-12	15	3	2.2141528651138	51.597433333333
EUR/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	1	2	3	2.2141528651138	56.666666666667
GBP/JPY	ライブスター証券	みんなのFX	29	-25	4	2.1820601921304	110
GBP/USD	FXブロードネット	GMOクリック証券(FXネオ)	15	-11	4	2.1820601921304	113.11745
AUD/JPY	FXトレード・フィナンシャル(高速FX)	マネーパートナーズ(パートナーズFX nano)	61	-59	2	2.1415569118749	75
AUD/USD	GMOクリック証券(FXネオ)	みんなのFX	54	-52	2	2.1415569118749	71.4426
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(直トレFX)	52	-50	2	2.1415569118749	115
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	52	-50	2	2.1415569118749	100
USD/JPY	ライブスター証券	FXプライム(直トレFX)	9	-7	2	1.6796701127898	80
USD/JPY	ライブスター証券	FXプライム(選べる外貨)	9	-7	2	1.6796701127898	75
GBP/USD	FXプライム(直トレFX)	DMM FX	13	-10	3	1.6365451440978	111.13293333333
EUR/USD	マネーパートナーズ(パートナーズFX)	DMM FX	0	2	2	1.4761019100759	77.39615
EUR/JPY	FXプライム(選べる外貨)	GMOクリック証券(FXネオ)	0	2	2	1.4761019100759	95
EUR/JPY	FXブロードネット	GMOクリック証券(FXネオ)	0	2	2	1.4761019100759	70
EUR/USD	DMM FX	FXプライム(選べる外貨)	-2	4	2	1.4761019100759	89.30325
EUR/USD	DMM FX	みんなのFX	-2	4	2	1.4761019100759	83.3497
EUR/USD	DMM FX	FXプライム(直トレFX)	-2	4	2	1.4761019100759	77.39615
EUR/JPY	FXプライム(直トレFX)	GMOクリック証券(FXネオ)	0	2	2	1.4761019100759	100
GBP/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	8	-6	2	1.0910300960652	115
GBP/JPY	JFX	FXトレード・フィナンシャル(高速FX)	8	-6	2	1.0910300960652	115
USD/JPY	FXブロードネット	DMM FX	2	-1	1	0.83983505639492	60
USD/JPY	GMOクリック証券(FXネオ)	DMM FX	2	-1	1	0.83983505639492	60
USD/JPY	GFT	GMOクリック証券(FXネオ)	5	-4	1	0.83983505639492	80
