通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
GBP/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	37	-20	17	9.2737558165542	35.294117647059
NZD/JPY	サクソバンクFX(FX CHOICE)	FXブロードネット	87	-79	8	8.9303654752071	97.5
NZD/JPY	YJFX!(外貨ex)	GMOクリック証券(FXネオ)	88	-80	8	8.9303654752071	41.25
NZD/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	88	-80	8	8.9303654752071	56.25
CHF/JPY	FXプライム(選べる外貨)	FXブロードネット	-18	29	11	8.6735055944111	70.909090909091
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(直トレFX)	55	-47	8	8.5662276474997	32.5
AUD/USD	ライブスター証券	GMOクリック証券(FXネオ)	68	-60	8	8.5662276474997	56.558725
AUD/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	58	-50	8	8.5662276474997	56.558725
AUD/JPY	ライブスター証券	FXブロードネット	62	-54	8	8.5662276474997	85
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	55	-47	8	8.5662276474997	28.75
AUD/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	58	-50	8	8.5662276474997	74.419375
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	20	-12	8	8.4228258580754	90
CAD/JPY	GMOクリック証券(FXネオ)	FXブロードネット	20	-12	8	8.4228258580754	81.25
CAD/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	20	-12	8	8.4228258580754	107.5
USD/JPY	FXトレード・フィナンシャル(高速FX)	ライブスター証券	18	-8	10	8.3983505639492	17
USD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	18	-8	10	8.3983505639492	14
USD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	18	-8	10	8.3983505639492	15
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	30	-15	15	8.182725720489	19.333333333333
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(FX CHOICE)	0	11	11	8.1185605054173	15.154490909091
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(スタンダード)	0	11	11	8.1185605054173	19.484345454545
EUR/JPY	JFX	FXプライム(選べる外貨)	20	-9	11	8.1185605054173	19.090909090909
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	20	-9	11	8.1185605054173	20.909090909091
EUR/JPY	JFX	FXプライム(直トレFX)	20	-9	11	8.1185605054173	20
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	20	-9	11	8.1185605054173	20
CHF/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	10	10	7.8850050858283	56
CHF/JPY	DMM FX	外為オンライン	-15	25	10	7.8850050858283	68
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	0	10	10	7.8850050858283	24
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	0	10	10	7.8850050858283	42
CHF/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	0	10	10	7.8850050858283	38
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	86	-79	7	7.8140697908062	97.142857142857
NZD/JPY	サクソバンクFX(スタンダード)	GMOクリック証券(FXネオ)	87	-80	7	7.8140697908062	92.857142857143
NZD/JPY	サクソバンクFX(FX CHOICE)	GMOクリック証券(FXネオ)	87	-80	7	7.8140697908062	64.285714285714
USD/JPY	FXトレード・フィナンシャル(高速FX)	YJFX!(外貨ex)	18	-9	9	7.5585155075543	13.333333333333
AUD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	62	-55	7	7.4954491915623	55.714285714286
AUD/JPY	FXトレード・フィナンシャル(高速FX)	ライブスター証券	72	-65	7	7.4954491915623	52.857142857143
AUD/JPY	ライブスター証券	外為オンライン	62	-55	7	7.4954491915623	117.14285714286
EUR/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	7	3	10	7.3805095503794	11
EUR/USD	マネーパートナーズ(パートナーズFX)	YJFX!(外貨ex)	0	10	10	7.3805095503794	19.05136
CAD/JPY	ライブスター証券	外為オンライン	27	-20	7	7.369972625816	115.71428571429
CAD/JPY	みんなのFX	DMM FX	17	-10	7	7.369972625816	24.285714285714
CAD/JPY	ライブスター証券	FXプライム(選べる外貨)	27	-20	7	7.369972625816	68.571428571429
CHF/JPY	GMOクリック証券(FXネオ)	FXブロードネット	-20	29	9	7.0965045772455	62.222222222222
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	YJFX!(外貨ex)	0	9	9	7.0965045772455	53.333333333333
CHF/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	-6	15	9	7.0965045772455	75.555555555556
CHF/JPY	マネーパートナーズ(パートナーズFX)	YJFX!(外貨ex)	0	9	9	7.0965045772455	68.888888888889
GBP/JPY	GMOクリック証券(FXネオ)	DMM FX	28	-15	13	7.0916956244238	16.923076923077
USD/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	18	-10	8	6.7186804511594	22.5
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	86	-80	6	6.6977741064053	58.333333333333
EUR/JPY	ライブスター証券	みんなのFX	3	6	9	6.6424585953414	27.777777777778
EUR/USD	DMM FX	サクソバンクFX(スタンダード)	-2	11	9	6.6424585953414	19.845166666667
EUR/USD	ライブスター証券	サクソバンクFX(FX CHOICE)	-2	11	9	6.6424585953414	26.460222222222
EUR/USD	DMM FX	サクソバンクFX(FX CHOICE)	-2	11	9	6.6424585953414	14.553122222222
EUR/USD	ライブスター証券	サクソバンクFX(スタンダード)	-2	11	9	6.6424585953414	31.752266666667
GBP/JPY	FXトレード・フィナンシャル(高速FX)	みんなのFX	37	-25	12	6.5461805763912	16.666666666667
GBP/JPY	FXトレード・フィナンシャル(高速FX)	YJFX!(外貨ex)	37	-25	12	6.5461805763912	23.333333333333
GBP/JPY	ライブスター証券	DMM FX	27	-15	12	6.5461805763912	37.5
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	30	-18	12	6.5461805763912	54.166666666667
AUD/USD	FXブロードネット	FXプライム(直トレFX)	56	-50	6	6.4246707356248	73.427116666667
AUD/USD	FXトレード・フィナンシャル(高速FX)	みんなのFX	58	-52	6	6.4246707356248	39.690333333333
AUD/JPY	GMOクリック証券(FXネオ)	DMM FX	52	-46	6	6.4246707356248	23.333333333333
AUD/USD	FXブロードネット	FXプライム(選べる外貨)	56	-50	6	6.4246707356248	97.241316666667
AUD/USD	GMOクリック証券(FXネオ)	FXプライム(直トレFX)	56	-50	6	6.4246707356248	59.5355
AUD/USD	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	56	-50	6	6.4246707356248	83.3497
